Brand,Product,Rating,Number of ratings,Price,Replacement,Expected delivery,Product availability,Product description,Product link
DEVICE,DEVICE OF URBAN INFOTECH 360 degree Rotational Electronic Highly Accurate Clip-on Digital Tuner Easy to Use for Acoustic and Electric Guitar Bass Violin Ukulele with 5 Pcs Picks (Design May Vary),3.7 out of 5,104,--,7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"【Tuning Instrument】Simplicity and accuracy, clip-on tuner for chromatic, guitar, bass, ukulele, violin.【6 String Tuner】6 C tone standard pitch ( bass mi, bass la, alto re, alto sol, alto Si and high pitched mi ), corresponding to the 6 strings of guitar or other musical instruments.【Automatic shut-off function】Clear LCD digital display with a good backlight making it easy to read, the tuner will be power off automatically after 3 minutes if no operation.【360 Degree Rotatable】With 360 degree rotational clip, you can adjust the angle you need.【Easy To Use】Lightweight and compact size, suitable for music teachers, professional and beginning players.› See more product details",https://www.amazon.in/DEVICE-URBAN-INFOTECH-Rotational-Electronic/dp/B081LG3X5H/ref=sr_1_55?dchild=1&keywords=guitar&qid=1622443116&sr=8-55
Yamaha,"Yamaha F280 Acoustic Guitar, Natural With Bajaao Gig Bag",4.5 out of 5,45,"₹ 7,999.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,Only 2 left in stock.,"About this item.Comfortable playability for beginners | High durability and stability proven by Yamaha's quality standard.Designed above all to protect your instrument, but also to be stylish and durable. Backpack-style straps for easy transport. This economy bag has a durable nylon outer shell and is waterproof. It does not have any foam padding..Brand: YAMAHA | Colour: Natural | Top Material Spruce Plywood | Body Material Rosewood | Neck Material Rosewood.Specifications : Body Depth : 96-116mm | Nut Width : 43mm | String Spacing : 10mm | Top Material : Spruce | Nut Material : Urea | Bridge Pins : Black ABS | Tuners : Covered Chrome.Included In bundle F280 Acoustic Guitar + Bajaao Standard Acoustic Guitar Bag.› See more product details",https://www.amazon.in/Yamaha-Acoustic-Guitar-Natural-Bajaao/dp/B08RMP2F6Z/ref=sr_1_56?dchild=1&keywords=guitar&qid=1622443116&sr=8-56
KHODIYAR,"KHODIYAR 4-String Musical Instrument Guitar, Acoustic Guitar Learning Kids Toy",--,--,--,7 Days Replacement,--,,"About this item.Very Crisp and Clear Sound of Strings..4 String which are tune-able. A very good toy for kids who are willing to learn guitar..The Guitar is made of very good quality plastic, adequate to produce a very clear sound from Guitar.This Acoustic Guitar makes a great gift for kids..Colour: Blue.› See more product details",https://www.amazon.in/KHODIYAR-4-String-Musical-Instrument-Guitar/dp/B0912Q7DS6/ref=sr_1_57?dchild=1&keywords=guitar&qid=1622443116&sr=8-57
SRK,SRK 4 String Decor Guitar Children's Musical Instrument Educational Toy Guitar for Beginners Kids Child 23 Inch(Colour May Vary),--,--,--,7 Days Replacement,--,,"About this item.4-string Guitar Toy for Kids with Adjustable Tuning Knobs for Intellectual Development and also to develop talent and interest in kids..This guitar has good sound quality & good wooden finishing.It is made up of good quality plastic & is good for playing and learning..Helps kids have fun and stimulate and develop their talent & interest...It is fully Functional With All The tuning keys and playable. This Children's sized Acoustic Guitar Toy is ideal for children to get the correct posture and learn how to play different notes..This Acoustic Guitar makes a great gift for kids. Lightweight, easy to hold, and has a nice appearance.This is not a professionally manufactured Guitar, just a toy for Children.Recommended for ages above 3 years..› See more product details",https://www.amazon.in/SRK-String-Decor-Guitar-Educational/dp/B08X6M7TXS/ref=sr_1_58?dchild=1&keywords=guitar&qid=1622443116&sr=8-58
Belear,"Belear I-280 Couturier Series 38 Inch TBS Cutaway Acoustic Guitar Combo with Gig Bag and Picks, Tobacco Brown Sunburst, Full",--,--,"₹ 2,399.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,"In stock on June 14, 2021.
Order it now.","About this item.Premium 38 Inch single cutaway acoustic guitar..Top, back, and sides are made from Carbon fiber..Catalpa neck with Rosewood fretboard..Carbon fiber is famous for resonant, tough, and resistant to temperature and humidity changes..Full scale length with easy access to the upper frets..Hand orientation: Ambidextrous.Neck material type: Catalpa Wood",https://www.amazon.in/Belear-I-280-Couturier-Acoustic-Sunburst/dp/B09136TPZ1/ref=sr_1_59?dchild=1&keywords=guitar&qid=1622443116&sr=8-59
Hawaii,"Hawaii Kids Guitar, Soprano Ukulele, Durable Flexible for Beginner Children(Purple Elf)",--,--,"₹ 1,789.00",10 Days Returnable,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"About this item.The natural and unrestrained playing can add personal charm, which is deeply loved by the youth..Ukulele has elegant tone, easy to learn, with very rich tone and expression..Not only express euphemistic and moving murmur, but also express the majestic and heroic spirit, let a number of people dream..Touch the strings, you will be full of youthful breath, like being in nature..The light melody, playing the relaxing music, can express the joy and sorrow, and can cultivate the solemn and graceful charm of temperament..Warranty not applicable for this product",https://www.amazon.in/Soprano-Ukulele-Flexible-Beginner-Children/dp/B092LQK8XB/ref=sr_1_60?dchild=1&keywords=guitar&qid=1622443116&sr=8-60
Big,Big Shoppe Store Mini Acoustic Guitar 23 Inch 6 Strings Guitar for Beginners Novice Adults Practice Learning Pink,--,--,"₹ 2,139.00",7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,Usually dispatched in 6 to 10 days.,"Mini 23 inch Wood 6 Strings Acoustic Guitar Musical Instrument.Fine workmanship.Perfect gift for beginner, music lovers, children and adult.Material: Wood.› See more product details",https://www.amazon.in/Acoustic-Strings-Beginners-Practice-Learning/dp/B095X5FKV2/ref=sr_1_61?dchild=1&keywords=guitar&qid=1622443116&sr=8-61
Givson,"Givson Ketostics Venus Special VS-BLK, Acoustic Guitar Combo with Cover/Bag, String Set, Belt and Picks",3.6 out of 5,102,--,7 Days Replacement,--,,"About this item.Acoustic Guitar , 6-Strings, Right-Handed, with Guitar Cover/Bag..Great Looks With An Innovative Design To Produce Good Sound..The Handling Comfort Of The Slightly Reduced Body Depth And Intermediate Scale Length Will Be Particularly Appreciated By Younger Players..This Allows You An Effortless & Precise Tuning. This Is A Preferred Tuning Machine Head Preferred By A Lot Of Professional Guitarists..Package Contains:- 1 Guitar | Guitar Cover/Bag | String Set | Belt And 5 Picks..› See more product details",https://www.amazon.in/GIVSON-KETOSTICS-VS-BLK-Strings-Acoustic/dp/B07R9ZLSNL/ref=sr_1_62?dchild=1&keywords=guitar&qid=1622443116&sr=8-62
RetroStyle,RetroStyle Guitar 4-String Acoustic Guitar Musical Instrument for Learning (23 Inches)Brown,--,--,--,7 Days Returnable,--,,"About this item.Very Crisp and Clear Sound of Strings.4 String which are tune-able. A very good toy for kids who are willing to learn guitar..The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar.The size of the guitar:.No batteries required, this is an unlimited fun toy for kids..› See more product details",https://www.amazon.in/RetroStyle-4-String-Acoustic-Instrument-Learning/dp/B092S4M41Q/ref=sr_1_63?dchild=1&keywords=guitar&qid=1622443116&sr=8-63
MD,MD HUB Guitar Toys for Kids Fully Functional 4 String Classical Wooden Big Size Guitar Toy/Musical Acoustic Guitar with Adjustable Tunning Knob/Guitar Instrument Play Set for Kids,--,--,₹ 849.00,7 Days Replacement,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,In stock.,"4 String which are tune-able. A very good toy for kids who are willing to learn guitar..The Guitar is made of very good quality plastic, adequate to produce a very crisp and clear sound from Guitar.The size of the guitar: 23inch.This acoustic guitar makes a great gift for kids lightweight, easy to holdand has a nice appearance this is not a professionally manufactured guitar, just a toy for children recommended for ages above 6 years.Made from high quality abs materials, non-toxic paints, safer for children.› See more product details",https://www.amazon.in/MD-HUB-Functional-Adjustable-Instrument/dp/B0963YHXXZ/ref=sr_1_64?dchild=1&keywords=guitar&qid=1622443116&sr=8-64
